,id,type,title,director,country,release_year,rating,genre,duration_in_min,duration_in_seasons
1871,1871,Movie,Liberty City The Movie,"Phillyflyboy, Bla G.",Italy,2019,18+,"Action, Drama, Suspense",44,0
1872,1872,Movie,Lewis Black: Black to the Future,Justin Kreutzmann,Italy,2016,16+,"Arts, Entertainment, and Culture, Comedy",50,0
1873,1873,Movie,Let's Sing Again,Kurt Neumann,Italy,1936,8+,"Arts, Entertainment, and Culture",68,0
1874,1874,TV Show,Let's Learn Chinese,Unknown,Italy,2017,0+,"Animation, International, Kids",0,1
1875,1875,Movie,Let's Go Collegiate,Jean Yarbrough,Italy,1941,18+,"Arts, Entertainment, and Culture",73,0
1876,1876,Movie,Les Savy Fav,Baeble Music,Italy,2011,UNRATED,"Arts, Entertainment, and Culture, Music Videos and Concerts",55,0
1877,1877,TV Show,Leo The Wildlife Ranger,Unknown,Italy,2015,ALL,"Animation, Kids",0,1
1878,1878,Movie,Leo The Last,John Boorman,Italy,1970,17+,Drama,104,0
1879,1879,TV Show,LEGO City Adventures,Unknown,Italy,2019,7+,"Action, Animation, Kids",0,1
1880,1880,TV Show,Legendary Cities,Unknown,Italy,2014,7+,TV Shows,0,1
1881,1881,Movie,Legendary,Eric Styles,Italy,2014,13+,Action,93,0
1882,1882,TV Show,Legend of the Superstition Mountains,Unknown,Italy,2015,10+,TV Shows,0,1
1883,1883,TV Show,Legend of Fuyao,Unknown,Italy,2018,18+,"Drama, Romance",0,1
1884,1884,TV Show,Legend of Bruce Lee,Unknown,Italy,2008,UNRATED,"Action, Adventure, International",0,1
1885,1885,Movie,Legend,Mary Wharton,Italy,2021,13+,Documentary,67,0
1886,1886,Movie,Leeches,Payal Sethi,Italy,2016,18+,Drama,27,0
1887,1887,Movie,Led Zeppelin - Physical Graffiti: A Classic Album Under Review,Sexy Intellectual,Italy,2008,13+,Documentary,91,0
1888,1888,Movie,"Learn, Sing & Dance with Toddler Fun Learning",Unknown,Italy,2019,ALL,Kids,38,0
1889,1889,TV Show,Learn with Ted The Train,Unknown,Italy,2017,ALL,"Animation, Kids, Special Interest",0,1
1890,1890,Movie,Learn with Gecko,Unknown,Italy,2019,ALL,"Kids, Special Interest",37,0
1891,1891,Movie,Learn With Blippi - Educational Videos For Kids,Stevin John,Italy,2020,ALL,Kids,60,0
1892,1892,Movie,Learn Numbers with Max the Glow Train and Bill the Monster Truck,Zach Bell,Italy,2015,ALL,Kids,7,0
1893,1893,Movie,Learn Colors With Finger Family And More,HooplaKidz,Italy,2019,ALL,Kids,30,0
1894,1894,Movie,Learn Colors and Race Cars with Max the Glow Train and His Friends (Colors and Toys),Unknown,Italy,2016,ALL,Kids,10,0
1895,1895,Movie,"Learn Colors & Play with Paint with Max the Glow Train, Jake the Fire Truck and Friends",Unknown,Italy,2016,ALL,Kids,9,0
1896,1896,TV Show,Le Mans: Racing is Everything,Unknown,Italy,2017,16+,"Documentary, Sports",0,1
1897,1897,Movie,LAW,Raghu Samarth,India,2020,16+,Suspense,120,0
